,features,class
0,"[18.973665961010276, 18.027756377319946, 17.08800749063506, 16.15549442140351, 14.866068747318506, 14.317821063276353, 13.892443989449804, 13.038404810405298, 12.206555615733702, 10.816653826391969, 9.433981132056603, 8.602325267042627, 7.810249675906654, 7.810249675906654, 8.06225774829855, 9.433981132056603, 8.06225774829855, 7.810249675906654, 7.0710678118654755, 7.810249675906654, 8.602325267042627, 8.94427190999916, 8.54400374531753, 8.246211251235321, 8.06225774829855, 8.0, 8.06225774829855, 8.246211251235321, 7.615773105863909, 6.324555320336759, 5.385164807134504, 4.123105625617661, 5.0, 6.082762530298219, 5.0990195135927845, 4.123105625617661, 3.1622776601683795, 4.123105625617661, 5.0, 4.123105625617661, 4.47213595499958, 5.385164807134504, 6.324555320336759, 7.615773105863909, 8.06225774829855, 8.602325267042627, 8.48528137423857, 9.219544457292887, 9.433981132056603, 8.94427190999916, 9.486832980505138, 10.44030650891055, 11.40175425099138, 12.165525060596439, 13.152946437965905, 14.035668847618199, 13.0, 13.038404810405298, 13.152946437965905, 14.142135623730951, 15.297058540778355, 15.524174696260024, 15.811388300841896, 16.15549442140351, 15.811388300841896, 15.524174696260024, 15.297058540778355, 14.142135623730951, 13.038404810405298, 13.0, 14.035668847618199, 14.142135623730951, 13.152946437965905, 12.36931687685298, 11.40175425099138, 10.44030650891055, 9.848857801796104, 9.433981132056603, 10.0, 9.219544457292887, 9.219544457292887, 8.602325267042627, 8.06225774829855, 8.54400374531753, 9.848857801796104, 11.180339887498949, 10.816653826391969, 11.40175425099138, 12.041594578792296, 12.041594578792296, 12.806248474865697, 13.601470508735444, 12.806248474865697, 12.727922061357855, 12.041594578792296, 11.40175425099138, 11.661903789690601, 11.180339887498949, 11.704699910719626, 10.44030650891055]",2
1,"[43.18564576337837, 42.01190307520001, 40.049968789001575, 38.3275357934736, 35.90264614203248, 33.83784863137726, 31.38470965295043, 29.5296461204668, 29.410882339705484, 31.240998703626616, 29.410882339705484, 28.653097563788805, 30.463092423455635, 32.89376840679705, 34.92849839314596, 37.33630940518894, 40.049968789001575, 41.012193308819754, 43.18564576337837, 43.56604182158393, 44.14748010928823, 44.9221548904324, 44.94441010848846, 45.18849411078001, 44.77722635447622, 44.654227123532216, 44.04543109109048, 43.840620433565945, 43.278170016764804, 42.20189569201838, 42.190046219457976, 39.824615503479755, 38.48376280978771, 37.33630940518894, 36.40054944640259, 35.6931365951495, 34.23448553724738, 34.0147027033899, 33.06055050963308, 32.38826948140329, 32.984845004941285, 32.89376840679705, 32.202484376209235, 32.7566787083184, 32.802438933713454, 33.24154027718932, 33.421549934136806, 34.132096331752024, 35.77708763999664, 36.40054944640259, 37.64306044943742, 39.81205847478876, 42.2965719651132, 44.04543109109048, 47.01063709417264, 47.16990566028302, 48.507731342539614, 50.00999900019995, 49.24428900898052, 50.635955604688654, 52.773099207835045, 52.392747589718944, 50.0, 49.040799340956916, 51.66236541235796, 52.952809179494906, 51.478150704935004, 51.15662224971465, 54.08326913195984, 51.088159097779204, 51.35172830587107, 49.49747468305833, 47.16990566028302, 47.01063709417264, 45.044422518220834, 43.289721643826724, 40.792156108742276, 38.600518131237564, 37.33630940518894, 36.6742416417845, 34.9857113690718, 34.20526275297414, 33.94112549695428, 33.421549934136806, 33.28663395418648, 32.64965543462902, 32.31098884280702, 32.28002478313795, 32.55764119219941, 33.13608305156178, 33.0, 34.132096331752024, 35.510561809129406, 36.138621999185304, 37.0, 38.07886552931954, 39.35733730830886, 40.8166632639171, 42.43819034784589, 42.638011210655684]",2
2,"[42.2965719651132, 41.10960958218893, 40.01249804748511, 39.01281840626232, 38.118237105091836, 36.345563690772494, 34.713109915419565, 33.24154027718932, 31.622776601683793, 30.083217912982647, 29.068883707497267, 28.30194339616981, 29.410882339705484, 30.610455730027933, 30.610455730027933, 29.410882339705484, 28.30194339616981, 28.178005607210743, 29.154759474226502, 30.675723300355934, 32.28002478313795, 33.734255586866, 35.35533905932738, 37.12142238654117, 39.01281840626232, 40.01249804748511, 41.10960958218893, 42.2965719651132, 42.579337712087536, 42.95346318982906, 43.41658669218482, 43.965895873961216, 44.598206241955516, 45.31004303683677, 45.18849411078001, 45.17742799230607, 44.41846462902562, 44.654227123532216, 44.204072210600685, 43.93176527297759, 43.840620433565945, 43.93176527297759, 43.41658669218482, 42.20189569201838, 42.720018726587654, 41.677331968349414, 40.70626487409524, 39.81205847478876, 39.0, 38.27531841800928, 37.64306044943742, 37.107950630558946, 36.6742416417845, 35.35533905932738, 35.12833614050059, 34.0147027033899, 34.0147027033899, 33.13608305156178, 33.37663853655727, 32.7566787083184, 33.24154027718932, 32.89376840679705, 32.69556544854363, 32.64965543462902, 32.7566787083184, 33.015148038438355, 33.421549934136806, 33.24154027718932, 33.97057550292606, 34.20526275297414, 34.66987164671943, 35.35533905932738, 36.24913792078372, 37.33630940518894, 38.600518131237564, 40.024992192379, 40.607881008493905, 42.2965719651132, 44.10215414239989, 46.010868281309364, 47.01063709417264, 48.093658625644196, 48.25971404805462, 48.507731342539614, 49.8196748283246, 49.64876634922564, 48.373546489791295, 48.16637831516918, 47.042533945356304, 47.0, 46.04345773288535, 44.181444068749045, 42.42640687119285, 40.792156108742276, 40.26164427839479, 38.897300677553446, 37.69615364994153, 36.6742416417845, 35.84689665786984, 35.22782990761707]",2
3,"[43.104524124504614, 42.01190307520001, 41.012193308819754, 39.11521443121589, 38.3275357934736, 37.656340767525464, 35.90264614203248, 35.17101079013795, 33.83784863137726, 32.31098884280702, 30.870698080866262, 29.5296461204668, 29.68164415931166, 30.0, 29.732137494637012, 29.206163733020468, 30.23243291566195, 28.30194339616981, 28.30194339616981, 29.5296461204668, 30.870698080866262, 31.953090617340916, 33.52610922848042, 35.17101079013795, 35.6931365951495, 37.48332962798263, 38.2099463490856, 40.049968789001575, 41.0, 42.04759208325728, 42.190046219457976, 43.41658669218482, 43.73785545725808, 44.14748010928823, 44.64302857109943, 45.221676218380054, 44.94441010848846, 45.69463863518345, 45.617978911828175, 44.77722635447622, 44.94441010848846, 44.40720662234904, 44.82186966202994, 44.598206241955516, 43.840620433565945, 43.18564576337837, 42.638011210655684, 42.20189569201838, 41.88078318274385, 40.8166632639171, 39.824615503479755, 38.91015291668744, 39.0, 37.33630940518894, 36.68787265568828, 36.138621999185304, 35.6931365951495, 34.36568055487916, 34.132096331752024, 34.0147027033899, 34.0147027033899, 33.13608305156178, 33.37663853655727, 32.7566787083184, 33.24154027718932, 31.953090617340916, 32.69556544854363, 31.76476034853718, 33.61547262794322, 33.015148038438355, 32.802438933713454, 33.301651610693426, 33.24154027718932, 32.64965543462902, 33.60059523282288, 34.132096331752024, 35.35533905932738, 36.6742416417845, 37.16180835212409, 37.33630940518894, 38.600518131237564, 40.024992192379, 41.593268686170845, 43.41658669218482, 43.18564576337837, 45.044422518220834, 47.0, 48.041648597857254, 48.041648597857254, 48.0, 46.04345773288535, 44.181444068749045, 43.41658669218482, 41.773197148410844, 40.26164427839479, 38.897300677553446, 37.69615364994153, 37.16180835212409, 37.12142238654117, 35.84689665786984]",2
4,"[43.73785545725808, 42.2965719651132, 41.048751503547585, 39.0, 37.12142238654117, 34.36568055487916, 32.01562118716424, 29.410882339705484, 26.92582403567252, 24.596747752497688, 22.47220505424423, 21.2602916254693, 19.79898987322333, 17.804493814764857, 16.278820596099706, 19.1049731745428, 21.400934559032695, 21.633307652783937, 23.706539182259394, 26.0, 28.460498941515414, 31.04834939252005, 33.37663853655727, 36.124783736376884, 38.0, 41.10960958218893, 42.42640687119285, 43.93176527297759, 44.64302857109943, 45.5411901469428, 46.61544808322666, 46.06517122512408, 46.647615158762406, 45.803929962395145, 46.09772228646444, 45.254833995939045, 44.68780594300866, 43.60045871318328, 43.56604182158393, 42.05948168962618, 40.718546143004666, 39.56008088970496, 37.64306044943742, 38.3275357934736, 37.656340767525464, 37.21558813185679, 36.013886210738214, 36.05551275463989, 36.345563690772494, 35.90264614203248, 35.73513677041127, 36.76955262170047, 37.12142238654117, 36.05551275463989, 36.235341863986875, 36.76955262170047, 38.28837943815329, 39.408120990476064, 39.44616584663204, 40.718546143004666, 42.720018726587654, 43.68065933568311, 46.09772228646444, 47.51841748206689, 48.16637831516918, 48.010415536631214, 51.03920062069938, 53.150729063673246, 52.03844732503075, 49.01020301937138, 48.16637831516918, 47.51841748206689, 47.07440918375928, 44.64302857109943, 42.720018726587654, 41.6293165929973, 40.311288741492746, 39.66106403010388, 38.41874542459709, 37.48332962798263, 36.87817782917155, 36.61966684720111, 37.589892258425, 36.24913792078372, 36.05551275463989, 36.138621999185304, 36.49657518178932, 37.12142238654117, 36.0, 37.12142238654117, 37.48332962798263, 39.05124837953327, 38.897300677553446, 39.92492955535426, 41.14608122288197, 42.5440947723653, 44.10215414239989, 44.204072210600685, 45.34313619501854, 45.967379738244816]",2
5,"[43.93176527297759, 42.579337712087536, 42.2965719651132, 42.1070065428546, 41.012193308819754, 40.01249804748511, 39.11521443121589, 37.33630940518894, 35.6931365951495, 34.20526275297414, 32.57299494980466, 31.38470965295043, 29.966648127543394, 29.154759474226502, 29.410882339705484, 30.610455730027933, 30.610455730027933, 29.410882339705484, 28.30194339616981, 29.068883707497267, 30.463092423455635, 31.622776601683793, 33.24154027718932, 34.713109915419565, 36.345563690772494, 38.118237105091836, 39.01281840626232, 41.012193308819754, 42.1070065428546, 42.2965719651132, 42.579337712087536, 43.93176527297759, 44.384682042344295, 43.965895873961216, 44.598206241955516, 45.31004303683677, 45.18849411078001, 45.17742799230607, 45.27692569068709, 44.654227123532216, 44.204072210600685, 43.93176527297759, 43.840620433565945, 43.93176527297759, 42.638011210655684, 43.01162633521314, 41.88078318274385, 41.677331968349414, 39.824615503479755, 38.91015291668744, 38.07886552931954, 37.33630940518894, 37.64306044943742, 36.138621999185304, 35.6931365951495, 35.35533905932738, 34.132096331752024, 34.0147027033899, 34.0147027033899, 33.13608305156178, 33.37663853655727, 32.7566787083184, 33.24154027718932, 32.89376840679705, 32.69556544854363, 32.64965543462902, 32.7566787083184, 33.015148038438355, 33.421549934136806, 33.97057550292606, 33.97057550292606, 34.20526275297414, 34.66987164671943, 35.35533905932738, 36.6742416417845, 36.76955262170047, 37.94733192202055, 39.56008088970496, 41.0, 42.579337712087536, 43.289721643826724, 45.09988913511872, 47.01063709417264, 48.010415536631214, 48.093658625644196, 48.25971404805462, 49.49747468305833, 50.48762224545735, 49.25444142409901, 48.093658625644196, 48.010415536631214, 47.01063709417264, 46.09772228646444, 44.28317965096906, 43.56604182158393, 41.97618372363071, 40.52159917870962, 38.897300677553446, 37.69615364994153, 37.57658845611187]",2
6,"[42.2965719651132, 41.10960958218893, 40.01249804748511, 40.01249804748511, 38.118237105091836, 37.33630940518894, 35.6931365951495, 34.20526275297414, 32.57299494980466, 31.016124838541646, 29.966648127543394, 29.154759474226502, 29.410882339705484, 30.610455730027933, 30.610455730027933, 29.410882339705484, 28.30194339616981, 29.068883707497267, 30.083217912982647, 31.622776601683793, 33.24154027718932, 34.713109915419565, 36.345563690772494, 38.118237105091836, 39.01281840626232, 40.01249804748511, 41.10960958218893, 42.2965719651132, 42.579337712087536, 42.95346318982906, 43.41658669218482, 43.965895873961216, 43.657759905886145, 44.384682042344295, 44.28317965096906, 44.294469180700204, 43.56604182158393, 43.829214001622255, 43.41658669218482, 43.18564576337837, 43.139309220245984, 42.5205832509386, 42.01190307520001, 41.617304093369626, 40.496913462633174, 39.44616584663204, 39.35733730830886, 37.57658845611187, 36.76955262170047, 36.05551275463989, 35.4400902933387, 34.92849839314596, 34.52535300326414, 33.24154027718932, 33.06055050963308, 32.0, 32.0624390837628, 32.2490309931942, 31.575306807693888, 32.01562118716424, 31.622776601683793, 31.38470965295043, 31.304951684997057, 31.38470965295043, 31.622776601683793, 32.01562118716424, 31.827660925679098, 32.55764119219941, 32.802438933713454, 33.28663395418648, 34.48187929913333, 35.34119409414458, 35.4682957019364, 36.68787265568828, 38.07886552931954, 39.6232255123179, 41.30375285612676, 43.104524124504614, 44.01136216933077, 46.010868281309364, 47.095647357266465, 47.265209192385896, 47.51841748206689, 48.83646178829912, 49.8196748283246, 47.51841748206689, 47.265209192385896, 47.095647357266465, 46.010868281309364, 45.0111097397076, 43.104524124504614, 42.2965719651132, 40.607881008493905, 39.05124837953327, 37.64306044943742, 36.40054944640259, 35.34119409414458, 35.35533905932738, 34.132096331752024, 33.60059523282288]",2
7,"[38.8329756778952, 37.21558813185679, 34.0, 31.25699921617557, 27.65863337187866, 24.041630560342615, 20.615528128088304, 22.135943621178654, 18.681541692269406, 14.560219778561036, 11.704699910719626, 14.7648230602334, 14.7648230602334, 9.848857801796104, 8.06225774829855, 8.54400374531753, 9.899494936611665, 12.083045973594572, 15.132745950421556, 17.11724276862369, 16.15549442140351, 16.401219466856727, 15.811388300841896, 16.76305461424021, 15.033296378372908, 16.76305461424021, 16.64331697709324, 16.401219466856727, 17.08800749063506, 17.11724276862369, 16.1245154965971, 13.0, 10.0, 8.94427190999916, 8.0, 9.848857801796104, 11.180339887498949, 11.180339887498949, 12.529964086141668, 14.142135623730951, 16.1245154965971, 19.313207915827967, 20.223748416156685, 20.024984394500787, 19.6468827043885, 19.235384061671343, 19.1049731745428, 19.1049731745428, 20.12461179749811, 20.615528128088304, 20.024984394500787, 20.223748416156685, 20.248456731316587, 18.027756377319946, 17.69180601295413, 17.804493814764857, 16.1245154965971, 14.142135623730951, 12.529964086141668, 11.180339887498949, 12.165525060596439, 16.1245154965971, 18.681541692269406, 22.090722034374522, 24.020824298928627, 24.331050121192877, 24.0, 27.073972741361768, 31.064449134018133, 33.54101966249684, 36.40054944640259, 37.69615364994153, 38.47076812334269, 37.20215047547655, 35.38361202590826, 36.235341863986875, 34.66987164671943, 33.54101966249684, 32.69556544854363, 33.61547262794322, 35.805027579936315, 36.796738985948195, 36.235341863986875, 38.27531841800928, 38.01315561749642, 37.33630940518894, 36.138621999185304, 33.37663853655727, 31.016124838541646, 27.073972741361768, 23.08679276123039, 21.840329667841555, 25.96150997149434, 29.427877939124322, 33.015148038438355, 35.12833614050059, 37.656340767525464, 39.56008088970496, 40.85339643163099, 41.593268686170845]",2
8,"[44.384682042344295, 42.7551166528639, 42.2965719651132, 41.048751503547585, 40.01249804748511, 38.2099463490856, 35.510561809129406, 32.984845004941285, 31.953090617340916, 32.28002478313795, 33.734255586866, 36.345563690772494, 39.05124837953327, 41.012193308819754, 42.190046219457976, 42.579337712087536, 43.174066289845804, 43.965895873961216, 44.94441010848846, 45.18849411078001, 44.77722635447622, 44.654227123532216, 44.04543109109048, 44.553338819890925, 43.18564576337837, 42.80186911806539, 41.88078318274385, 40.311288741492746, 39.81205847478876, 38.62641583165593, 37.64306044943742, 35.90264614203248, 35.35533905932738, 34.058772731852805, 34.0147027033899, 33.24154027718932, 32.7566787083184, 32.57299494980466, 32.69556544854363, 33.12099032335839, 33.015148038438355, 33.301651610693426, 33.301651610693426, 34.40930106817051, 34.9857113690718, 36.24913792078372, 37.33630940518894, 38.600518131237564, 40.792156108742276, 42.2965719651132, 44.04543109109048, 47.01063709417264, 47.16990566028302, 48.373546489791295, 50.635955604688654, 51.19570294468082, 51.97114584074513, 52.46903848937962, 53.33854141237835, 51.24451190127583, 52.08646657242167, 51.088159097779204, 50.0, 49.09175083453431, 48.373546489791295, 47.67598976424087, 48.25971404805462, 49.040799340956916, 50.00999900019995, 50.15974481593781, 52.46903848937962, 50.635955604688654, 47.265209192385896, 47.042533945356304, 46.010868281309364, 44.181444068749045, 41.593268686170845, 40.26164427839479, 38.27531841800928, 36.24913792078372, 35.84689665786984, 34.40930106817051, 34.058772731852805, 33.97057550292606, 33.60059523282288, 33.61547262794322, 33.1058907144937, 32.89376840679705, 32.984845004941285, 32.38826948140329, 34.058772731852805, 34.0147027033899, 35.22782990761707, 35.6931365951495, 36.40054944640259, 38.27531841800928, 39.395431207184416, 39.824615503479755, 41.340053217188775, 43.829214001622255]",2
9,"[43.93176527297759, 42.579337712087536, 42.2965719651132, 41.10960958218893, 41.012193308819754, 40.01249804748511, 38.118237105091836, 37.33630940518894, 35.510561809129406, 33.95585369269929, 32.57299494980466, 31.016124838541646, 29.546573405388315, 28.653097563788805, 28.844410203711913, 30.0, 31.240998703626616, 30.0, 28.844410203711913, 27.784887978899608, 28.635642126552707, 30.083217912982647, 31.622776601683793, 32.984845004941285, 34.713109915419565, 36.345563690772494, 37.12142238654117, 39.01281840626232, 40.01249804748511, 41.10960958218893, 42.2965719651132, 42.579337712087536, 43.93176527297759, 44.384682042344295, 43.965895873961216, 44.598206241955516, 45.31004303683677, 45.18849411078001, 45.17742799230607, 45.27692569068709, 44.654227123532216, 44.204072210600685, 44.68780594300866, 43.86342439892262, 43.86342439892262, 43.278170016764804, 42.80186911806539, 42.43819034784589, 41.340053217188775, 41.182520563948, 40.24922359499622, 39.395431207184416, 38.62641583165593, 37.94733192202055, 37.36308338453881, 35.90264614203248, 35.510561809129406, 35.22782990761707, 34.058772731852805, 34.0, 33.06055050963308, 33.24154027718932, 32.55764119219941, 32.984845004941285, 32.57299494980466, 33.24154027718932, 33.1058907144937, 33.12099032335839, 32.449961479175904, 32.802438933713454, 33.301651610693426, 33.24154027718932, 33.421549934136806, 33.83784863137726, 34.9857113690718, 35.77708763999664, 36.76955262170047, 37.94733192202055, 39.293765408777, 40.792156108742276, 42.42640687119285, 43.18564576337837, 45.044422518220834, 46.0, 47.042533945356304, 47.16990566028302, 48.373546489791295, 49.64876634922564, 48.373546489791295, 47.16990566028302, 47.042533945356304, 46.0, 46.04345773288535, 44.181444068749045, 43.41658669218482, 41.773197148410844, 40.26164427839479, 38.897300677553446, 37.69615364994153, 36.6742416417845]",2
